Keyword,Volume,CPC,Competition,Score,Intent
relationships,165000,1.15,0.01,64,informational
relationship,165000,1.15,0.01,63,informational
relationships name,8100,,0,14,informational
relationships types,8100,,0,17,informational
relationships name in english,4400,,0,0,informational
relative name in english,4400,,0,0,informational
relation name in english,4400,,0,3,informational
family relationship names in english,1900,,0,1,informational
family relationship names in hindi,1300,,0,0,informational
50 relation name,880,,0,0,informational
family relationship name,880,,0,0,informational
12 types of relationships,590,,0,25,informational
relationships examples,480,0.52,0.01,24,informational
types of relationship in love,480,,0,27,informational
best definition of love in a relationship,480,,0,27,informational
20 relation name,390,,0,0,informational
relationship meaning in love,320,,0,46,informational
20 different types of relationships,320,,0,17,informational
10 relation name,320,,0,0,informational
family relationship names in english and hindi,320,,0,0,informational
what is love in a relationship for a woman,260,,0,20,informational
family relationship names in english to telugu,260,,0,0,informational
4 types of love relationships,260,,0,22,informational
family relationship names in english pdf,210,,0,0,navigational
types of romantic relationships,210,,0,17,informational
family relation name list,210,,0,,informational
list of relationships,210,,0,44,informational
relation name list,170,,0,2,informational
what is love in a relationship for a man,140,,0,,informational
family relationship names in english to hindi,140,,0,0,informational
family relationship chart in english,140,,0,3,informational
20 signs of true love,140,,0.01,6,informational
family relationship names in english with meaning,110,,0,,informational
50 relatives name in english,110,,0,,informational
relationships or relationship,90,,0,54,informational
40 relation name,90,,0,0,informational
100 relation name in english,90,,0,,informational
15 relation name,90,,0,,informational
family relationship names in english and tamil,90,,0,,informational
10 types of relationships,90,,0,76,informational
signs of true love in a relationship,70,,0.01,18,informational
50 relation name in english,70,,0,,informational
20 relation name in english,70,,0,22,informational
signs of true love from a man,70,,0.01,18,informational
psychology of relationships pdf,50,,0,,informational
love relationship names in english,50,,0,,informational
4 types of romantic relationships,50,,0,,informational
types of relationship in love gen z,50,,0,,informational
what are the 4 types of relationships,40,,0,75,informational
25 types of romantic relationships,30,,0,,informational
12 types of relationships gen z,30,,0,,informational
30 relation name,30,,0,,informational
types of relationship in love like situationship,30,,0,,informational
different types of relationships between humans,20,,0,,informational
types of relationships in dating,20,,0,59,informational
family relationship names in english and marathi,20,,0,,informational
signs of true love from boyfriend,20,,0,59,informational
physical signs of true love,20,,0,,informational
signs of true love in long distance relationship,20,,0,54,informational
relationships bl,10,,0,,informational
12 types of relationships pdf,10,,0,,informational
12 types of relationships psychology,10,,0,,informational
romantic relationship meaning in love,10,,0,,informational
20 different types of relationships pdf,10,,0,,informational
types of romantic relationships psychology,10,,0,,informational
4 types of relationships psychology,10,,0,,informational
types of relationships in family,10,,0,56,informational
what are the 4 types of relationships between organisms,10,,0,,informational
what is love in a relationship for a woman psychology,10,,0,,informational
types of relationship between girl and boy,,,,,informational
symptoms of true love in girl,,,,,informational
romance video,1000000,,0,0,informational
romance,201000,0.57,0,31,informational
romance video for couple,60500,,0,0,informational
romantic video full,60500,,0,0,informational
couple romantic video,60500,,0,0,informational
best romance love movies,49500,0.2,0,20,informational
romance film netflix,40500,0.03,0,15,informational
romance video real life,33100,,0,0,informational
romantic video real life,33100,,0,0,informational
romance couple,27100,1.07,0,10,informational
romance love,22200,0.49,0,15,informational
romance film,22200,1.63,0,24,informational
top 10 romantic videos,22200,8.17,0,3,informational
best romantic video,22200,,0,0,informational
romantic video full hd,22200,0.16,0,0,informational
best romantic videos,22200,,0,0,informational
open romantic video,18100,,0,0,informational
romantic couple romance,18100,0.62,0,0,informational
romantic scenes for couples,14800,,0,0,informational
top 10 romantic movies bollywood,14800,,0,0,informational
top 10 romantic movies hollywood,14800,0.57,0,21,informational
love story movies bollywood,14800,0.03,0,3,informational
top 10 romantic movies hindi,14800,,0,0,informational
romance indian,12100,,0,0,informational
romance videos live,12100,,0,0,informational
romantic couple pics at night,12100,0.69,0,0,informational
romantic videos live,12100,,0,0,informational
real kiss video,12100,,0,4,informational
love kissing videos,12100,,0,0,informational
relationship couple romance,12100,,0,3,informational
full romance,9900,,0,8,informational
romance film 1999,9900,,0,13,informational
lips kiss video romantic,9900,,0,0,navigational
romantic video only,8100,,0,0,informational
romantic scenes netflix,8100,,0,9,informational
best romantic songs hindi,8100,0.01,0,3,informational
romance love story,6600,0.1,0,31,informational
romance indian movie,6600,0.02,0,0,informational
full romance movies,5400,1.59,0,9,informational
couple romantic video night,5400,,0,0,commercial
kiss video short,5400,,0,3,informational
romantic love kiss,5400,,0,0,informational
best love story movies bollywood latest,5400,0.04,0,2,informational
marriage relationship #couple romance,4400,0.58,0.03,6,informational
romance couple photo,4400,1.25,0,0,informational
marriage relationship couple romance,4400,0.58,0.03,0,informational
love kiss video full,4400,,0,0,informational
romantic movies on netflix hollywood,4400,0.47,0.02,7,informational
top 10 romantic movies on netflix,4400,,0,5,informational
romance full movie,4400,,0,7,informational
romantic video full open netflix,4400,,0,12,navigational
romantic video real life love,3600,,0,0,informational
full romance movies hollywood,3600,0.55,0.11,8,informational
romance film video,3600,,0,0,informational
full romantic video english,3600,,0,0,informational
romantic kiss and hug,3600,,0,0,informational
long lip kiss video,3600,,0,0,informational
full romance movies english,3600,1.15,0,5,informational
latest romantic movies bollywood,3600,0.05,0,0,informational
romance video youtube,2900,,0,3,informational
romance video full movie,2900,,0,0,informational
romantic video full movie,2900,,0,0,informational
top 10 romantic movies bollywood latest,2900,,0,0,informational
best romantic scenes,2400,,0,0,informational
romance video google,1900,,0,0,informational
love video full romantic kiss,1900,,0,0,informational
romantic movies on netflix bollywood,1900,,0,5,informational
kiss video romantic scene,1900,,0,0,informational
romantic video full short,1600,,0,0,informational
lips kiss video short,1600,,0,0,informational
best romantic scenes for couples,1600,,0,0,informational
best romantic video real life,1600,,0,0,informational
romantic video full open real life,1600,,0,0,navigational
romance videos netflix,1300,,0,9,informational
romance love movie,1300,,0,11,informational
best romance full movie,1300,0.01,0,10,informational
romance couple video song,1300,,0,0,informational
top 10 romantic scenes netflix,1300,,0,6,informational
romantic video real life love kiss,1300,,0,0,informational
new romantic video 2026,1300,,0,0,informational
romantic kiss video real life,1000,,0,0,navigational
top 10 romantic videos on youtube,1000,,0,5,informational
romantic couple pics at night indian,1000,,0,0,informational
romantic full movie in hindi,1000,0.15,0,0,informational
full romance movies hindi,880,0.05,0,1,informational
couple romantic video website,880,,0,0,navigational
english full romantic movies list,880,,0,14,informational
husband wife sexless marriage,880,0.68,0.18,6,informational
hug romantic couple pics at night,880,,0,0,informational
romance video love kiss,720,,0,0,informational
romantic movies hollywood in hindi,720,0.47,0.03,0,informational
couple romantic video short,720,,0,0,informational
full romance video song,720,,0,0,informational
romantic couple pic kiss,720,,0,0,informational
romantic couple pictures for profile,720,,0,4,informational
full romance movies bollywood,590,0.04,0,0,informational
romantic scenes for couples youtube,590,,0,0,navigational
love kiss video full youtube,590,,0,0,navigational
best romance love story,590,,0,8,informational
romantic video real life love story,590,,0,0,informational
romantic video full hd download,590,,0,,transactional
hot romance songs bollywood,590,,0,1,informational
romance live,480,,0,4,informational
romance couple goals,480,,0,8,informational
deep love story,480,,0,0,informational
romance after marriage in real life,480,,0,2,informational
romantic love story reading,390,,0.01,15,informational
intense romance movies on netflix,390,,0,16,informational
physical relationship romance,390,0.54,0.01,8,informational
full romantic video english download,390,,0,0,transactional
romantic kiss romantic couple pics at night,320,,0,0,informational
romantic couple pics at night video,320,,0,0,informational
youtube new romantic video,320,,0,2,informational
marriage relationship couple romance video,260,,0,0,commercial
romantic couple pics at night download,260,,0,0,navigational
romantic couple pics at night bedroom,260,,0,0,informational
best romance video youtube,210,,0,3,informational
romantic video only love,210,,0,,informational
romantic scenes netflix hindi,210,,0,,informational
romantic scenes netflix hollywood,210,,0,6,informational
romantic video full hd short,210,,0,,informational
new full romance movies,170,,0,,informational
full romance movies on netflix,170,,0,,informational
full romance movies list,170,,0,34,informational
best romantic scenes netflix,170,,0,,informational
romantic couple pics at night for whatsapp,110,,0,,informational
romantic couple goals videos,110,,0,0,informational
romantic scenes for couples in english,90,,0,,informational
open romantic video song,90,,0,,informational
youtube romantic video real life,90,,0,,navigational
relationship couple romance pictures,90,,0,,informational
top 10 romantic movies bollywood netflix,90,,0,,informational
top 10 romantic movies bollywood south,70,,0,,informational
best romance video google,50,,0,,informational
romance 1998 movie,50,,0,,informational
romantic video real life download,50,,0,,transactional
hug romantic couple pics at night free,50,,0,,commercial
couple goals pictures instagram,50,,0,,navigational
youtube full romantic video english,50,,0,,navigational
romance film indian,40,,0,0,informational
best romance video for couples,40,,0,,commercial
new romance video google,40,,0,,informational
new romance videos netflix,40,,0,,informational
best romance videos netflix,40,,0,,informational
new full romance movies hollywood,40,0.55,0.14,,informational
romantic video full short youtube,40,,0,,navigational
top 10 romantic movies bollywood imdb,40,,0,,informational
romantic scenes netflix 2022,40,,0,,informational
best full romance movies hollywood,30,0.79,0.05,,informational
romance movie 1999 dailymotion,30,,0,,informational
childhood,33100,0.26,0,47,informational
childhood friend complex,14800,,0,0,informational
the adventure class 11 questions and answers,8100,,0,0,informational
childhood class 11 summary,5400,,0,0,informational
father to son class 11 summary,5400,,0,0,informational
father to son class 11 questions and answers,5400,,0,0,informational
childhood class 11 questions and answers,5310,,0,0,informational
memories of childhood summary,4708,,0,0,informational
childhood class 11,4400,,0,0,informational
childhood memories quotes,4263,,0,0,informational
childhood friend meaning in hindi,2400,,0,0,informational
memories of childhood class 12 questions and answers,1900,,0,0,informational
childhood memories,1610,,0,13,informational
childhood meaning,1600,,0,3,informational
